scientific_name,longitude,latitude,checklist_id,country,observer_id,sampling_event_identifier,observation_count,species_observed,state_code,locality_id,protocol_type,observation_date,year,time_observations_started,duration_minutes,effort_distance_km,number_observers
Turdus chiguanco,-72.546165,-13.163607,S16346589,Peru,obs35756,S16346589,,true,PE-CUS,L1004819,Traveling,13-06-03,2003,14,180,3.219,2
Turdus chiguanco,-68.1259184,-16.5028584,S88508617,Bolivia,obs1408101,S88508617,,true,BO-L,L11275951,Stationary,27-09-03,2003,8,30,0,3
Turdus chiguanco,-66.036495,-26.464867,S71887040,Argentina,obs137063,S71887040,1,true,AR-T,L11974096,Traveling,28-10-03,2003,6.75,135,3.219,8
Turdus chiguanco,-72.5236381,-13.1557109,S16347035,Peru,obs35756,S16347035,1,true,PE-CUS,L1455248,Traveling,14-06-03,2003,6.666666667,140,2.414,3
Turdus chiguanco,-71.9815636,-13.5086681,S27189108,Peru,obs279344,S27189108,1,true,PE-CUS,L1985240,Traveling,21-08-03,2003,14.5,80,0.161,4
Turdus chiguanco,-71.374054,-16.402165,S14868634,Peru,obs225057,S14868634,1,true,PE-ARE,L2309667,Traveling,20-11-03,2003,8.333333333,120,2,3
Turdus chiguanco,-70.3475204,-39.0568284,S15299520,Argentina,obs220662,S15299520,3,true,AR-Q,L2372738,Traveling,19-12-03,2003,17,60,1.609,1
Turdus chiguanco,-71.6548745,-15.6480734,S16290015,Peru,obs35756,S16290015,1,true,PE-ARE,L2399973,Stationary,02-06-03,2003,15.5,60,0,1
Turdus chiguanco,-64.4979858,-30.9805917,S21393450,Argentina,obs423266,S21393450,,true,AR-X,L2412959,Traveling,01-03-03,2003,16,60,2,1
Turdus chiguanco,-64.75094,-32.66021,S15258235,Argentina,obs428785,S15258235,4,true,AR-X,L2991302,Stationary,25-12-03,2003,19,60,0,2
Turdus chiguanco,-65.8576244,-25.1806474,S20984298,Argentina,obs534175,S20984298,1,true,AR-A,L3231463,Traveling,11-11-03,2003,8,120,1.609,8
Turdus chiguanco,-64.9866199,-32.3289899,S23896244,Argentina,obs521880,S23896244,1,true,AR-D,L3719159,Traveling,06-04-03,2003,14.51666667,80,2,2
Turdus chiguanco,-78.7649077,-1.586962,S24800137,Ecuador,obs104762,S24800137,4,true,EC-H,L3875648,Stationary,10-08-03,2003,10.75,5,0,1
Turdus chiguanco,-78.7617642,-1.5881203,S24800430,Ecuador,obs104762,S24800430,2,true,EC-H,L3875677,Stationary,10-10-03,2003,9.65,3,0,1
Turdus chiguanco,-78.7597793,-1.5885078,S24804058,Ecuador,obs104762,S24804058,4,true,EC-H,L3876132,Stationary,14-09-03,2003,8.816666667,5,0,1
Turdus chiguanco,-78.7567055,-1.5900161,S24804274,Ecuador,obs104762,S24804274,2,true,EC-H,L3876158,Stationary,10-10-03,2003,11.51666667,3,0,1
Turdus chiguanco,-78.7542111,-1.5901594,S24804326,Ecuador,obs104762,S24804326,2,true,EC-H,L3876182,Stationary,10-08-03,2003,9.45,5,0,1
Turdus chiguanco,-78.756448,-1.5942416,S24806712,Ecuador,obs104762,S24806712,3,true,EC-H,L3876197,Stationary,10-10-03,2003,8.333333333,3,0,1
Turdus chiguanco,-78.7639743,-1.5902989,S24805572,Ecuador,obs104762,S24805572,1,true,EC-H,L3876201,Stationary,10-08-03,2003,8.216666667,5,0,1
Turdus chiguanco,-78.7601334,-1.5911354,S24806060,Ecuador,obs104762,S24806060,7,true,EC-H,L3876256,Stationary,14-09-03,2003,9.016666667,5,0,1
Turdus chiguanco,-78.7587494,-1.5924653,S24806493,Ecuador,obs104762,S24806493,5,true,EC-H,L3876292,Stationary,10-10-03,2003,8.5,3,0,1
